1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:13 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/018' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:54
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:13 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/019' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:54
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:13 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/020' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:54
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:13 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/021' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:54
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:13 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/022' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:54
1; 127.0.0.1; (Logout); Tue, 09 Feb 2021 17:43:29
1; 127.0.0.1; (Loged in); Tue, 09 Feb 2021 17:43:35
1; 127.0.0.1; (Loged in); Wed, 10 Feb 2021 08:47:56
; 127.0.0.1; (Logout); Thu, 11 Feb 2021 08:25:31
1; 127.0.0.1; (Loged in); Mon, 15 Feb 2021 18:18:01
; 127.0.0.1; (Logout); Tue, 16 Feb 2021 07:56:05
1; 127.0.0.1; (Loged in); Tue, 16 Feb 2021 07:56:06
1; 127.0.0.1; (Loged in); Tue, 16 Feb 2021 13:06:28
